qid,bank,question_type,max_jaccard,same_answer,nearest_train_question
E0210,lloyds,short_answer,0.714,True,"According to Lloyds Banking Group's 2023 Annual Report, what were the currency translation differences for the year ended 31 December 2023"
E0211,natwest,open_ended,0.368,False,"According to NatWest Group's 2023 Annual Report, what was total income excluding notable items in 2023?"
E0212,lloyds,true_false,0.5,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the banking net interest margin in 2023 and 2022?"
E0213,natwest,open_ended,0.35,False,"According to NatWest Group's 2023 Annual Report, why did bank deposits increase by £1.7 billion"
E0214,natwest,multiple_choice,0.263,False,"According to NatWest Group's 2023 Annual Report, which asset line items increased and partially offset the decrease in total assets?"
E0215,lloyds,short_answer,0.625,False,"According to NatWest Group's 2023 Annual Report, what was the percentage increase in total income from 2022 to 2023?"
E0216,hsbc,multiple_choice,0.538,False,"According to HSBC's 2023 Annual Report and Accounts, what was the return on average tangible equity in 2023 and in 2022"
E0217,lloyds,single_choice,0.5,False,"According to Lloyds Banking Group's 2023 Annual Report, by how much did the share buyback increase earnings per share?"
E0218,lloyds,short_answer,0.636,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the average interest-earning banking assets in 2023 compared with 2022"
E0219,lloyds,open_ended,0.261,False,According to Lloyds Banking Group's 2023 Annual Report: Assess the overall change in the Group's balance sheet strength from 2022 to 2023. Does the evidence sup
E0220,hsbc,open_ended,0.261,False,"Analyze the reasons for the $3.0bn impairment of HSBC's interest in BoCom at 31 December 2023, and explain how the impairment testing was performed."
E0221,natwest,multiple_choice,0.417,False,"According to NatWest Group's 2023 Annual Report, what was the total comprehensive income for the year ended 31 December 2023"
E0222,lloyds,multiple_choice,0.429,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's CET1 capital ratio at 31 December 2023 and at 31 December 2022"
E0223,lloyds,short_answer,0.786,True,"According to Lloyds Banking Group's 2023 Annual Report, how many shares were purchased under the 2023 share buyback programme, and at what average price per sha"
E0224,natwest,multiple_choice,0.462,False,"According to NatWest Group's 2023 Annual Report, what was total income excluding notable items in 2023?"
E0225,natwest,short_answer,0.462,False,"According to NatWest Group's 2023 Annual Report, what are the minimum requirements for the Liquidity Coverage Ratio and Net Stable Funding Ratio under the PRA f"
E0226,hsbc,short_answer,0.4,False,"According to HSBC's 2023 Annual Report and Accounts, which year between 2019 and 2023 had the highest total operating income?"
E0227,hsbc,open_ended,0.316,False,"According to HSBC's 2023 Annual Report and Accounts, what were the reported value and change for loans and advances to customers"
E0228,hsbc,open_ended,0.615,False,"According to HSBC's 2023 Annual Report and Accounts, what was the change in derivative liabilities and why was it consistent with the change in derivative asset"
E0229,lloyds,multiple_choice,0.429,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the size of the share buyback programme announced in February 2023"
E0230,natwest,open_ended,0.222,False,"Compare the changes in NatWest Group's risk-weighted assets by risk type between 2022 and 2023, and explain what these changes suggest about the bank's evolving"
E0231,lloyds,short_answer,0.769,True,"According to Lloyds Banking Group's 2023 Annual Report, how much did customer deposits decrease from the end of 2022, and what was the percentage change"
E0232,natwest,open_ended,0.261,False,"According to NatWest Group's 2023 Annual Report: Analyze the main drivers of the decrease in total assets between 2022 and 2023, and evaluate whether this decre"
E0233,lloyds,short_answer,0.667,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the estimated further increase in risk-weighted assets from Retail secured CRD IV model updates"
E0234,natwest,open_ended,0.4,False,"According to NatWest Group's 2023 Annual Report, what was the percentage increase in total income excluding notable items from 2022 to 2023"
E0235,hsbc,open_ended,0.296,False,"According to HSBC's 2023 Annual Report and Accounts, compare risk-weighted assets by currency between 2022 and 2023. What does the comparison suggest about chan"
E0236,natwest,short_answer,0.5,True,"According to NatWest Group's 2023 Annual Report, by how much and to what level did total loans to customers increase"
E0237,natwest,true_false,0.5,False,"According to NatWest Group's 2023 Annual Report: Excluding IFRS 9 transitional adjustments, what would the CET1 ratio have been at 31 December 2023?"
E0238,hsbc,short_answer,0.455,False,"According to HSBC's 2023 Annual Report and Accounts, what was the reported operating expenses for 2023 in $m?"
E0239,lloyds,short_answer,0.333,True,"According to HSBC's 2023 Annual Report and Accounts, what accounting standard was adopted from 1 January 2023"
E0240,lloyds,short_answer,0.5,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the amount of subordinated liabilities in 2023 (£m)?"
E0241,hsbc,short_answer,0.5,False,"According to HSBC's 2023 Annual Report and Accounts, what was the profit for the year in 2022"
E0242,natwest,true_false,0.5,False,"According to NatWest Group's 2023 Annual Report, what was the cash and balances at central banks amount at 31 December 2023"
E0243,natwest,short_answer,0.7,True,"According to NatWest Group's 2023 Annual Report, which Tier 2 notes were issued in February 2023?"
E0244,hsbc,short_answer,0.412,False,"According to HSBC's 2023 Annual Report and Accounts, what impairment amount was recognised when the disposal group was classified as held for sale?"
E0245,hsbc,short_answer,0.455,False,"According to HSBC's 2023 Annual Report and Accounts, what was the amount of customer accounts at 31 Dec 2023 in $m?"
E0246,lloyds,short_answer,0.625,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the amount of subordinated liabilities in 2023 (£m)?"
E0247,natwest,single_choice,0.357,False,"According to NatWest Group's 2023 Annual Report, what were the main components behind the £18.9 billion reduction in customer deposits"
E0248,lloyds,single_choice,0.545,False,"According to Lloyds Banking Group's 2023 Annual Report, why were the consolidated financial statements restated?"
E0249,natwest,single_choice,0.429,False,"According to NatWest Group's 2023 Annual Report, what was the profit for the year ended 31 December 2023"
E0250,lloyds,open_ended,0.55,False,"According to Lloyds Banking Group's 2023 Annual Report, what is the Group's guidance for banking net interest margin and average interest-earning assets in 2024"
E0251,hsbc,open_ended,0.333,False,According to Lloyds Banking Group's 2023 Annual Report: Analyze the main changes in the balance sheet between 31 December 2022 and 31 December 2023. Which asset
E0252,natwest,short_answer,0.667,False,"According to NatWest Group's 2023 Annual Report, what does the number of ordinary shares in issue exclude?"
E0253,natwest,open_ended,0.294,False,"According to NatWest Group's 2023 Annual Report, what amount of post model adjustments related to economic uncertainty was retained"
E0254,hsbc,short_answer,0.467,False,"According to HSBC's 2023 Annual Report and Accounts, what were the average interest-earning assets for the year ended 31 December 2023?"
E0255,hsbc,true_false,0.4,False,"According to HSBC's 2023 Annual Report and Accounts, what were the total assets at 31 December 2023"
E0256,natwest,short_answer,0.5,False,"According to NatWest Group's 2023 Annual Report, what are the total leverage ratio requirements including the countercyclical leverage ratio buffer?"
E0257,hsbc,short_answer,0.545,False,"According to HSBC's 2023 Annual Report and Accounts, which asset category was the largest in 2023?"
E0258,lloyds,open_ended,0.227,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the income statement transfer in respect of impairment for the year ended 31 December 2023?"
E0259,hsbc,single_choice,0.357,False,"According to HSBC's 2023 Annual Report and Accounts, which asset category was the largest in 2023?"
E0260,lloyds,open_ended,0.462,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the estimated further increase in risk-weighted assets from Retail secured CRD IV model updates"
E0261,natwest,short_answer,0.6,True,"According to NatWest Group's 2023 Annual Report, what amounts comprise the £1,538 million foreseeable items excluded from the pro forma CET1 ratio at 31 Decembe"
E0262,hsbc,single_choice,0.688,False,"According to HSBC's 2023 Annual Report and Accounts, what was the tangible net asset value per ordinary share at year-end in 2021?"
E0263,lloyds,multiple_choice,0.308,False,"According to Lloyds Banking Group's 2023 Annual Report, why were the consolidated financial statements restated?"
E0264,natwest,short_answer,0.368,True,"According to NatWest Group's 2023 Annual Report, which capital component remained unchanged between 31 December 2022 and 31 December 2023?

A. CET1 capital
B. A"
E0265,lloyds,short_answer,0.556,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the total ordinary dividend per share for 2023"
E0266,hsbc,single_choice,0.375,False,"According to HSBC's 2023 Annual Report and Accounts, what caused the decrease in derivative assets in Europe"
E0267,lloyds,true_false,0.444,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the profit for the year ended 31 December 2023?"
E0268,lloyds,single_choice,0.286,False,"According to Lloyds Banking Group's 2023 Annual Report, why were the consolidated financial statements restated?"
E0269,lloyds,open_ended,0.538,False,"According to Lloyds Banking Group's 2023 Annual Report, what is the expected total capital return in respect of 2023"
E0270,hsbc,true_false,0.692,False,"According to HSBC's 2023 Annual Report and Accounts, what was the profit for the year attributable to ordinary shareholders of the parent company in 2019?"
E0271,lloyds,short_answer,0.636,True,"According to Lloyds Banking Group's 2023 Annual Report, how much remediation costs were recognised in 2023, in 2022, and in the fourth quarter of 2023?"
E0272,hsbc,short_answer,0.556,False,"According to HSBC's 2023 Annual Report and Accounts, what total level of customer accounts was reported"
E0273,hsbc,open_ended,0.273,False,"According to HSBC's 2023 Annual Report and Accounts, what does the France retail disposal group include"
E0274,hsbc,short_answer,0.5,False,"According to HSBC's 2023 Annual Report and Accounts, which asset category was the largest in 2023?"
E0275,hsbc,multiple_choice,0.5,False,"According to HSBC's 2023 Annual Report and Accounts, what were the average interest-earning assets for the year ended 31 December 2023?"
E0276,lloyds,short_answer,0.5,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's CET1 capital ratio at 31 December 2023 and at 31 December 2022"
E0277,hsbc,true_false,0.412,False,"According to HSBC's 2023 Annual Report and Accounts, what was the main reason for the rise in WPB net fee income?"
E0278,natwest,short_answer,0.5,True,"According to NatWest Group's 2023 Annual Report, in what ratio was the issued ordinary share capital consolidated on 30 August 2022?"
E0279,lloyds,single_choice,0.5,False,"According to Lloyds Banking Group's 2023 Annual Report, what were the Group's total risk-weighted assets at 31 December 2023 and 31 December 2022"
E0280,natwest,short_answer,0.316,True,"According to NatWest Group's 2023 Annual Report, how did the Financial Policy Committee change the UK CCyB rate effective from 5 July 2023"
E0281,natwest,short_answer,1.0,True,"According to NatWest Group's 2023 Annual Report, what was the tangible net asset value per ordinary share at 31 December 2023"
E0282,lloyds,open_ended,0.333,True,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's cost:income ratio including remediation for 2023, and how did it compare with 2022"
E0283,hsbc,short_answer,0.733,True,"According to HSBC's 2023 Annual Report and Accounts, by how much did total shareholders' equity including non-controlling interests increase compared with 31 De"
E0284,hsbc,single_choice,0.6,False,What was the amount of impairment of interest in associate related to HSBC's investment in BoCom?
E0285,lloyds,open_ended,0.4,True,"According to Lloyds Banking Group's 2023 Annual Report, what capital generation does the Group expect for 2024 after accounting for in-year regulatory headwinds"
E0286,lloyds,multiple_choice,0.333,False,"According to Lloyds Banking Group's 2023 Annual Report: Evaluate the strength of the Group's liquidity and funding position at 31 December 2023, using the metri"
E0287,lloyds,multiple_choice,0.357,False,"According to Lloyds Banking Group's 2023 Annual Report, which two items were excluded from the Group's CET1 capital ratio at 31 December 2023?"
E0288,hsbc,single_choice,0.429,False,"According to HSBC's 2023 Annual Report and Accounts, by how much did customer accounts grow on a constant currency basis"
E0289,hsbc,single_choice,0.471,False,"According to HSBC's 2023 Annual Report and Accounts, how did the impairment loss relating to the sale of the retail banking operations in France change in 2023?"
E0290,natwest,open_ended,0.308,False,"According to NatWest Group's 2023 Annual Report, what was the CET1 capital at 31 December 2023"
E0291,hsbc,short_answer,0.4,False,"According to HSBC's 2023 Annual Report and Accounts, what were the total assets at 31 December 2023"
E0292,lloyds,open_ended,0.294,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the asset quality ratio for 2023?"
E0293,lloyds,single_choice,0.455,False,"According to Lloyds Banking Group's 2023 Annual Report, what were the total equity figures at 31 December 2022 and 31 December 2023?"
E0294,lloyds,short_answer,0.417,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the Group's post-tax return on average assets in 2023"
E0295,lloyds,true_false,0.538,False,"According to Lloyds Banking Group's 2023 Annual Report, what factors were reflected in the 17% increase in total operating expenses"
E0296,lloyds,single_choice,0.636,False,"According to Lloyds Banking Group's 2023 Annual Report, what were the Group's total costs including remediation in 2023, and by what percentage did they change "
E0297,natwest,open_ended,0.167,False,"According to NatWest Group's 2023 Annual Report, how are the results of discontinued operations presented in the income statement"
E0298,hsbc,single_choice,0.5,False,"According to HSBC's 2023 Annual Report and Accounts, what were the average interest-earning assets for the year ended 31 December 2023?"
E0299,hsbc,open_ended,0.375,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net interest margin for the year ended 31 December 2023"
E0300,hsbc,short_answer,0.455,False,"According to HSBC's 2023 Annual Report and Accounts, what was the amount of customer accounts at 31 Dec 2023 in $m?"
